序号,对应知识点,知识点,材料
1,16,[16],"冰川服务可分为供给服务、调节服务和文化服务。其中供给服务包括淡水资源、水力发电;调节服务包括气候调节、径流调节;文化服务包括美学欣赏、科学研究等。三江源冰川服务总价值为421.51亿元，直接经济价值的供给服务价值占总价值的20.64%。下列冰川的功能中能够直接体现经济价值的是()
A.气候调节
C.淡水资源
B.径流调节
D.科学研究
答案：C
由材料可知，供给服务包括淡水资源、水力发电，可直接体现经济价值，C正确;而径流调节、气候调节属于冰川的调节服务，科学研究属于文化服务，不能直接或快速体现经济价值，A、B、D错

知识点：
自然环境的服务功能：
1.支撑服务：养分循环、光合作用、水循环、土壤的形成。2.供给服务：食物、矿产资源、生物资源、淡水。3.调节服务：净化空气、调节气候、减缓土壤侵蚀、净化水、抑制病虫害。4.文化服务：身心健康、娱乐和生态旅游、美学价值、精神价值。"
2,20，21，22,"[20, 21, 22]","舟山群岛位于浙江省北部海域，主要地貌为山地丘陵。舟山群岛传统民居外形低矮，屋檐短，窗户小，建造时主要考虑的因素是()
A.植被状况
B.地形条件
C.气候条件
D.水源分布
答案：C
舟山群岛位于东南沿海，夏季受季风和台风影响，风大雨多，传统民居建造时主要考虑的因素是气候条件(防风雨)，故选C。

知识点：
区域的特征：
区域的特征有整体性、层次性、开放性、动态性和差异性。地理环境要素相互影响、相互作用导致了区域的整体性；地理环境要素互有差异导致了区域的差异性。整体性是区域的基本属性，没有整体性也就没有差异性，没有差异性就无所谓开放性。区域的整体性是相对的，差异性是绝对的。不仅各个区域之间普遍存在着差异性，区域内部也存在着差异性，这种差异性是区域进一步划分的基础，也是开放性形成的基础。层次性体现在两个方面，分别是大区域内包含着若干小区域，以及区域内部彼此关联形成的层次关系。区域变化的主要原因是区域地理要素、区域环境或社会需要发生了变
化，因而形成动态性。
区域特征的分析方法：
1.明确区域的空间范围：经纬度、海陆及邻区的相对位置。2.综合分析区域自然环境特征：地形类型、地势状况、地形区分布；气候类型、水分与热量状况、水热配合、有无特殊天气；河流水文特征、水系特征。3.综合分析区域人文环境特征：经济结构(工农业、交通)；工农业类型及分布；区域内工农业差异；区域内生产力布局、区位因素分析。4.归纳区域特征：区别差异性，归纳共同性。5.区域利用特征：探寻区域发展的优化模式。
区域发展的异同：
1.不同区域地理环境具有一定的相似性，同时区域发展也存在一定的相似性，表现在经济发展水平、发展特征等方面。2.不同区域地理位置不同，地形、气候、地貌、水文、土壤、植被等自然要素也存在差异，其中地形和气候是决定自然环境差异的主要因素。同时，各区域在经济、社会、文化等区域发展方面也呈现出不同的特点。"
3,25，26，28，29,"[25, 26, 28, 29]","瑞士矿产资源贫乏，经济发达。年降水1000毫米以上，河湖众多，工业、金融业、旅游业为经济的三大支柱，工业以低原料消耗的机械制造、精细化工、医药、钟表等为主，技术先进。有完整的金融法律和监管体系，提供广泛、专业、高度国际化的金融服务。在能源消费构成中，水电占30%以上。分析瑞士主要发展低原料消耗的工业部门的原因。
答案：本国矿产资源贫乏，发展低原料消耗的工业 部门，可减少对进口原料的依赖程度，降低原料 成本、运输成本等；技术先进，可通过加大技术 投入，提高产品价值(附加值)，获取更多利润。
本题属于原因考查类问题，从资源 贫乏，不能发展原料导向型工业，但经济发达， 有能力发展低原料消耗工业，且发展低原料消 耗工业有诸多优点等方面分析。

知识点：
区域差异的比较分析：
对比分析区域之间的差异，是分析各区域发展方向、采取因地制宜开发治理措施的前提，区域差异可从自然环境因素差异和人类活动因素差异两个方面分析。
区域环境差异对区域发展的影响：
不同的自然地理环境和人文地理环境组成特定的自然环境和相应的人文环境，影响区域发展，具体为：
不同的自然地理环境下的地形、气候、水文、土壤、生物组成特定的自然环境，
不同的人文地理环境下的农业、工业、商贸、城市、交通组成相应的人文环境，
人文地理环境与自然地理环境相互作用影响区域发展方向，和谐则可持续发展，冲突则产生环境问题。
区域经济联系（以长江三角洲和松嫩平原为例）：
农业方面：1.农业类型：长江三角洲为水田耕作业、水产业，松嫩平原为旱地耕作业、畜牧业；2.农作物：长江三角洲为水稻、油菜、棉花，松嫩平原为玉米、春小麦、大豆；3.熟制：长江三角洲为一年两熟或两年三熟，松嫩平原为一年一熟。
商业贸易方面：长江三角洲交通便利，对内对外联系方便，商业贸易发达；松嫩平原距海较远，对内对外联系不便，商业贸易落后。
工业方面：长江三角洲依托农业发展轻工业，从国内外运人矿产资源发展重工业，成为重要的综合性工业基地；松嫩平原利用当地丰富的石油资源和周围地区的煤、铁等资源发展重化工业，成为重化工业基地。
因地制宜促进区域发展：
原则：根据各地区域特征，采取适宜发展策略。
措施：综合考虑自然条件（位置、气候、地形、矿产资源等）和社会经济因素（劳动力、市场、交通运输、政策和科技等），发挥区域优势。
意义：顺应自然规律，实现人地协调；充分利用资源，提高综合效益；促进区域协调发展，减少区域差异；增强区域可持续发展能力。"
4,25，26，29,"[25, 26, 29]","瑞士矿产资源贫乏，经济发达。年降水1000毫米以上，河湖众多，工业、金融业、旅游业为经济的三大支柱，工业以低原料消耗的机械制造、精细化工、医药、钟表等为主，技术先进。有完整的金融法律和监管体系，提供广泛、专业、高度国际化的金融服务。在能源消费构成中，水电占30%以上。指出瑞士发展金融业的自身优势因素。
答案：政策(制度)，人力资源。
设问强调  “指出”和“优势因素”，只需答出瑞士发展金融  业的自身优势因素即可，不需展开具体说明。 根据材料“有完整的金融法律和监管体系，提供  广泛、专业、高度国际化的金融服务”，再结合产 业区位因素，可概括出其发展金融业具有政策(制度)和人力资源优势。

知识点：
区域差异的比较分析：
对比分析区域之间的差异，是分析各区域发展方向、采取因地制宜开发治理措施的前提，区域差异可从自然环境因素差异和人类活动因素差异两个方面分析。
区域环境差异对区域发展的影响：
不同的自然地理环境和人文地理环境组成特定的自然环境和相应的人文环境，影响区域发展，具体为：
不同的自然地理环境下的地形、气候、水文、土壤、生物组成特定的自然环境，
不同的人文地理环境下的农业、工业、商贸、城市、交通组成相应的人文环境，
人文地理环境与自然地理环境相互作用影响区域发展方向，和谐则可持续发展，冲突则产生环境问题。
因地制宜促进区域发展：
原则：根据各地区域特征，采取适宜发展策略。
措施：综合考虑自然条件（位置、气候、地形、矿产资源等）和社会经济因素（劳动力、市场、交通运输、政策和科技等），发挥区域优势。
意义：顺应自然规律，实现人地协调；充分利用资源，提高综合效益；促进区域协调发展，减少区域差异；增强区域可持续发展能力。"
5,32,[32],"罗弗敦群岛位于挪威北部(68°N附近)，捕鱼为岛上居民主要经济活动。许多居民房屋底部以木柱支撑，屋顶用厚重石板铺设，这样建造主要是为了()
A.防御海浪，便于出行B.扩展用地，抵御强风C.稳固地基，承受积雪D.减少潮湿，保暖防寒
答案：B
罗弗敦群岛 位于68°N附近，位于极地地 区，受极地 强风影响大，屋顶用厚重石 板铺设，可增 加屋顶重量
该岛多山地，地表崎岖，不利于建筑，底部以木柱支 撑，可在坡地 建房屋，扩展 用地，所以选B.

知识点：
传统民居与自然环境关系：
屋顶特征与自然环境关系：呈“人”字形且有一定坡度利于排水，反映当地降水较为丰富；坡度特别大利于排雪，表明冬季降雪多，防止积雪压垮屋顶。只有半坡且坡朝向院内，用于收集雨水，说明降水少、水资源不足。
墙体特征与自然环境关系：多用竹木建筑材料，反映当地气候较湿润；多用石材，可能当地多大风。墙体厚实，具有防风、防寒作用，表明当地纬度较高。
窗的特征与自然环境关系：窗多而大利于通风散热，说明当地气候较为炎热；窗少而小用于防御，防风或防寒，表明当地风力较大或纬度较高。
其他特征与自然环境关系：普遍有架空层，说明当地气候比较潮湿；白墙黑瓦与当地湿润的气候环境相适应。"
6,32,[32],"罗弗敦群岛位于挪威北部(68°N附近)，捕鱼为岛上居民主要经济活动。岛上搭建了许多木架，其主要功能是()
A.风干海鱼B.晾晒衣物
C.堆放薪柴D.圈养牲畜
答案：A
材料表明当地居民的主要经济活动是捕鱼， 用木架可加快海鱼的风干速度，A 正确。

知识点：
传统民居与自然环境关系：
屋顶特征与自然环境关系：呈“人”字形且有一定坡度利于排水，反映当地降水较为丰富；坡度特别大利于排雪，表明冬季降雪多，防止积雪压垮屋顶。只有半坡且坡朝向院内，用于收集雨水，说明降水少、水资源不足。
墙体特征与自然环境关系：多用竹木建筑材料，反映当地气候较湿润；多用石材，可能当地多大风。墙体厚实，具有防风、防寒作用，表明当地纬度较高。
窗的特征与自然环境关系：窗多而大利于通风散热，说明当地气候较为炎热；窗少而小用于防御，防风或防寒，表明当地风力较大或纬度较高。
其他特征与自然环境关系：普遍有架空层，说明当地气候比较潮湿；白墙黑瓦与当地湿润的气候环境相适应。"
7,21，23，32,"[21, 23, 32]","罗弗敦群岛位于挪威北部(68°N附近)，捕鱼为岛上居民主要经济活动。该岛最能吸引世界游客的景观是()
A.林海B.冰川C.雪原D.极光
答案：D
该地地处68 °N 附近，位于北极圈内部，有极  光现象，而极光现象难以在广大中低纬地区看  到，具有较强的吸引力，D正确；林海、冰川、雪 原在世界其他区域相对常见，吸引力弱于极光， A、B、C错误。

知识点：
区域特征的分析方法：
1.明确区域的空间范围：经纬度、海陆及邻区的相对位置。2.综合分析区域自然环境特征：地形类型、地势状况、地形区分布；气候类型、水分与热量状况、水热配合、有无特殊天气；河流水文特征、水系特征。3.综合分析区域人文环境特征：经济结构(工农业、交通)；工农业类型及分布；区域内工农业差异；区域内生产力布局、区位因素分析。4.归纳区域特征：区别差异性，归纳共同性。5.区域利用特征：探寻区域发展的优化模式。
自然环境因素差异：
1.气候差异的形成：纬度位置差异和地势高低差异，结合寒暖流不同，导致气温差异，大气环流不同和海陆位置不同，结合结合寒暖流不同，导致降水差异，气温差异和降水差异综合导致气候差异。
2.地貌差异的形成：不同的区域由于海陆位置和纬度位置不同，因而所受的内力作用和外力作用形式及组合不同，导致地貌的区域差异。
3.土壤、植被差异的形成：区域地理位置、气候、水文、地形、地质条件的差异，导致土壤、植被的差异，主要表现在土壤的质地、厚度、肥力、酸碱度等和植被的数量、种类、形态等。
4.河流水文差异的形成：气候差异下降水影响径流量、气温影响结冰期，地貌差异下地势影响流速、地形影响水系，植被差异影响径流量变化、影响含沙量多少，上述6点相互作用、相互影响、相互制约，形成了河流水文差异。
传统民居与自然环境关系：
屋顶特征与自然环境关系：呈“人”字形且有一定坡度利于排水，反映当地降水较为丰富；坡度特别大利于排雪，表明冬季降雪多，防止积雪压垮屋顶。只有半坡且坡朝向院内，用于收集雨水，说明降水少、水资源不足。
墙体特征与自然环境关系：多用竹木建筑材料，反映当地气候较湿润；多用石材，可能当地多大风。墙体厚实，具有防风、防寒作用，表明当地纬度较高。
窗的特征与自然环境关系：窗多而大利于通风散热，说明当地气候较为炎热；窗少而小用于防御，防风或防寒，表明当地风力较大或纬度较高。
其他特征与自然环境关系：普遍有架空层，说明当地气候比较潮湿；白墙黑瓦与当地湿润的气候环境相适应。"
8,20，21，23，25，26，27,"[20, 21, 23, 25, 26, 27]","地名常和所在地特定时期的地理环境有关。下图所示区域有1700多个行政村，其中85%以上村名与自然要素或地理方位等有关。该区域处于毛乌素沙地与黄土高原的过渡地带。与地名“河”“梁”“柳”相关的自然要素依次是()
A.水文、地貌、植被B.地貌、水文、植被
C.植被、地貌、水文D.水文、植被、地貌
答案：A


知识点：
区域的特征：
区域的特征有整体性、层次性、开放性、动态性和差异性。地理环境要素相互影响、相互作用导致了区域的整体性；地理环境要素互有差异导致了区域的差异性。整体性是区域的基本属性，没有整体性也就没有差异性，没有差异性就无所谓开放性。区域的整体性是相对的，差异性是绝对的。不仅各个区域之间普遍存在着差异性，区域内部也存在着差异性，这种差异性是区域进一步划分的基础，也是开放性形成的基础。层次性体现在两个方面，分别是大区域内包含着若干小区域，以及区域内部彼此关联形成的层次关系。区域变化的主要原因是区域地理要素、区域环境或社会需要发生了变
化，因而形成动态性。
区域特征的分析方法：
1.明确区域的空间范围：经纬度、海陆及邻区的相对位置。2.综合分析区域自然环境特征：地形类型、地势状况、地形区分布；气候类型、水分与热量状况、水热配合、有无特殊天气；河流水文特征、水系特征。3.综合分析区域人文环境特征：经济结构(工农业、交通)；工农业类型及分布；区域内工农业差异；区域内生产力布局、区位因素分析。4.归纳区域特征：区别差异性，归纳共同性。5.区域利用特征：探寻区域发展的优化模式。
自然环境因素差异：
1.气候差异的形成：纬度位置差异和地势高低差异，结合寒暖流不同，导致气温差异，大气环流不同和海陆位置不同，结合结合寒暖流不同，导致降水差异，气温差异和降水差异综合导致气候差异。
2.地貌差异的形成：不同的区域由于海陆位置和纬度位置不同，因而所受的内力作用和外力作用形式及组合不同，导致地貌的区域差异。
3.土壤、植被差异的形成：区域地理位置、气候、水文、地形、地质条件的差异，导致土壤、植被的差异，主要表现在土壤的质地、厚度、肥力、酸碱度等和植被的数量、种类、形态等。
4.河流水文差异的形成：气候差异下降水影响径流量、气温影响结冰期，地貌差异下地势影响流速、地形影响水系，植被差异影响径流量变化、影响含沙量多少，上述6点相互作用、相互影响、相互制约，形成了河流水文差异。
区域差异的比较分析：
对比分析区域之间的差异，是分析各区域发展方向、采取因地制宜开发治理措施的前提，区域差异可从自然环境因素差异和人类活动因素差异两个方面分析。
区域环境差异对区域发展的影响：
不同的自然地理环境和人文地理环境组成特定的自然环境和相应的人文环境，影响区域发展，具体为：
不同的自然地理环境下的地形、气候、水文、土壤、生物组成特定的自然环境，
不同的人文地理环境下的农业、工业、商贸、城市、交通组成相应的人文环境，
人文地理环境与自然地理环境相互作用影响区域发展方向，和谐则可持续发展，冲突则产生环境问题。
地理环境差异（以长江三角洲和松嫩平原为例）：
地理位置：长江三角洲地处30°N附近，东部沿海地区中部，长江入海口；松嫩平原位于43°N-48°N，东北地区中部。
气候条件：长江三角洲为亚热带季风气候，年降水量1000毫米以上，水热充足；松嫩平原是温带季风气候，降水较少，温暖季节短，作物生长期短。
土地条件：长江三角洲以水稻土为主，耕地多为水田，较分散，人均耕地低于全国平均水平；松嫩平原黑土为主，耕地多为旱地，集中连片，人均耕地高于全国平均水平。
矿产资源：长江三角洲贫乏；松嫩平原有较丰富的石油资源。"
9,30，31,"[30, 31]","无人机配送需要借助的关键地理信息技术是()A.RS B.GIS C.GNSS D.VR
答案：C


知识点：
“3S”技术的比较：
遥感技术（RS）：利用技术装备在航空或航天器上对地物远距离感知。技术装备包括遥感平台、传感器、遥感信息处理系统。工作流程是目标物→传感器→遥感地面系统→图像、数字。特点为探测范围大、获得资料速度快、受地面限制少、获取信息量大、应用广。应用于资源调查、灾害监测、环境监测、工程建设及规划等。
地理信息系统（GIS）：专门处理地理空间数据的计算机信息系统。技术装备有计算机软、硬件。工作流程是信息源→数据处理→数据库→空间分析→表达。具有图形化、可视化、及时更新信息的特点。应用于测绘、资源管理、环境保护、城乡规划、市场分析等领域。
全球卫星导航系统（GNSS）：利用卫星在全球范围内进行实时定位、导航的系统。技术装备包括卫星星座、地面监控系统、信号接收系统。特点是全球性、全天候、连续性和实时性。应用于军事、交通、旅游探险、对地测绘、野外勘测、紧急救援等方面。
“3S”技术的判别：
地理信息技术功能特点比较：RS主要功能是地表观察、地理数据收集，即“是什么，有什么”；GNSS用于空间位置（地理坐标）的确定、导航，即“在哪里”；GIS可进行数据采集、数据分析、决策应用，即“为什么，有何联系，如何利用、解决”。
“想”与“看”区分RS和GIS：GIS技术是地图延伸，主要功能是对空间数据和图片进行分析和处理，需在数据源基础上“分析、对比、计算”（“想”），涉及此类功能选用GIS；RS技术是视力延伸，主要功能是收集信息（“看”），只“看”不用“想”时选用RS。"
10,26，27，28，29,"[26, 27, 28, 29]","2019年7月，民航局与相关物流企业合作，在四川西部雅江县建立无人机基地用于从各乡村收购新鲜松茸。与民航局在雅江县建立无人机配送基地关联
性最小的是()
A.当地地形险峻B.村民居住分散
C.基础设施落后D.配送人员短缺
答案：D


知识点：
区域环境差异对区域发展的影响：
不同的自然地理环境和人文地理环境组成特定的自然环境和相应的人文环境，影响区域发展，具体为：
不同的自然地理环境下的地形、气候、水文、土壤、生物组成特定的自然环境，
不同的人文地理环境下的农业、工业、商贸、城市、交通组成相应的人文环境，
人文地理环境与自然地理环境相互作用影响区域发展方向，和谐则可持续发展，冲突则产生环境问题。
地理环境差异（以长江三角洲和松嫩平原为例）：
地理位置：长江三角洲地处30°N附近，东部沿海地区中部，长江入海口；松嫩平原位于43°N-48°N，东北地区中部。
气候条件：长江三角洲为亚热带季风气候，年降水量1000毫米以上，水热充足；松嫩平原是温带季风气候，降水较少，温暖季节短，作物生长期短。
土地条件：长江三角洲以水稻土为主，耕地多为水田，较分散，人均耕地低于全国平均水平；松嫩平原黑土为主，耕地多为旱地，集中连片，人均耕地高于全国平均水平。
矿产资源：长江三角洲贫乏；松嫩平原有较丰富的石油资源。
区域经济联系（以长江三角洲和松嫩平原为例）：
农业方面：1.农业类型：长江三角洲为水田耕作业、水产业，松嫩平原为旱地耕作业、畜牧业；2.农作物：长江三角洲为水稻、油菜、棉花，松嫩平原为玉米、春小麦、大豆；3.熟制：长江三角洲为一年两熟或两年三熟，松嫩平原为一年一熟。
商业贸易方面：长江三角洲交通便利，对内对外联系方便，商业贸易发达；松嫩平原距海较远，对内对外联系不便，商业贸易落后。
工业方面：长江三角洲依托农业发展轻工业，从国内外运人矿产资源发展重工业，成为重要的综合性工业基地；松嫩平原利用当地丰富的石油资源和周围地区的煤、铁等资源发展重化工业，成为重化工业基地。
因地制宜促进区域发展：
原则：根据各地区域特征，采取适宜发展策略。
措施：综合考虑自然条件（位置、气候、地形、矿产资源等）和社会经济因素（劳动力、市场、交通运输、政策和科技等），发挥区域优势。
意义：顺应自然规律，实现人地协调；充分利用资源，提高综合效益；促进区域协调发展，减少区域差异；增强区域可持续发展能力。"
