index,知识点关联题目,知识点
1,322，323，324，325,"地球的形状与大小：
地球是一个两级稍扁、赤道略鼓的不规则球体。表面积约5.1亿平方千米，赤道周长约4万千米，极半径约6357千米，赤道半径约6378千米，平均半径约6371千米。"
2,324，327，329，634,"经线与纬线：
经线：在地球仪上，连接南、北两极并垂直于纬线的半圆。经线的特点：形状为弧线段，指示南北方向，长度都相等，所有经线相交于南北两极。纬线：在地球仪上，与地轴垂直的平面与地球仪表面相割形成的圆。纬线的特点：形状为圆，指示东西方向，长度自赤道向两极逐渐变短，任意相邻两条纬线间的间隔在赤道上相等，所有纬线都相互平行。"
3,324，327，329，634,"经纬线的判断方法：
1.标注法：若经纬网图中直接标明经度或东（西）经、纬、南（北）纬度数，则直接进行判读、分析即可。2.关系法：在侧视、俯视及各种光照图中，相互平行的是纬线，不平行（相交于极点）的是经线。3.数值法：斜方格经纬网中，经线值不能大于180°，纬线值不能大于90°"
4,324，327，329，331，419，503，557，633，634,"经度和纬度：
经度：从本初子午线向东、向西各分180°；东经度的度数越向东越大，西经度的度数越向西越大；20°W~0°~160°E为东半球，160°E~180°~20°W为西半球；0°、180°为东西经分界线，180°大致与国际日期变更线重合。纬度：从赤道向南、向北各分90°；北纬的度数越向北越大，南纬的度数越向南越大；以赤道为界，以北为北半球，以南为南半球；30°是中、低纬度界线，60°是中、高纬度界线，23°26′是热带、温带界线，66°34′是温带、寒带界线。"
5,324，327，329，419，494,"经纬网的应用：
1.定“方向”：依据经线指示南北方向，纬线指示东西方向。极地俯视图：东西方向需要结合地球自转方向和两地之间的劣弧段进行判定；南北方向参照极点判定，距北极点近在北，距南极点近在南。不在同一幅经纬网图上两点方位的辨别方法：首先读出两点的经纬度数值，然后用以下方法判断：南北判断：同在北纬，纬度值大者在北；同在南纬，纬度值小者在北；南北纬各异，北纬度在北。东西判断：同在东经，经度值大者在东；同在西经，经度值大者在西；若分别在东西经，根据两地“经度和”判断，若经度和<180°，东经度在东，西经度在西；若经度和>180°，东经度在西，西经度在东。2.量“距离”：根据纬度差定经线长度：同一经线上，纬度1°的实际经线弧长处处相等，约为111km，故同一条经线上任意两点间距离=111km×两地间纬度差。根据经度差定纬线长度：同一纬线上，经度1°的纬线弧长由低纬向高纬递减，约是111×cosφ°km（φ表示该纬线的纬度）。若两点不在同一经线或纬线上，则运用勾股定理进行估算。3.比“范围”：在经纬网地图上，根据经纬线组成的网格可大致判断区域面积的大小。在经纬线都是直线的经纬网地图上，经纬度间隔相同的网格，其纬度越高表示的实地范围越小。在纬度大致相同的情况下，区域所跨的经纬度越多，表示的实地范围越大。4.寻“最短航线和航向”：球面上的两点，经过这两点的大圆劣弧的长度即为最短距离。利用现有大圆（如经线圈、赤道、晨昏圈），两点间最近航线就是沿该大圆走劣弧。没有现成大圆，作大圆劣弧。最短航线的劣弧线向较高纬度凸出。5.找“对称点”：关于赤道对称的点：经度相同、纬度数相同但南北纬相反。关于地轴对称的点：经度相差180°，东西经相反；纬度相同。关于地心对称的点（对跖点）：经度相差180°，东西经相反；纬度数相同但南北纬相反"
6,358，359，360，362，363，372,"地图三要素：
1.比例尺：表示图上距离比实地距离缩小的程度；比例尺=图上距离/实地距离；有文字式、数字式、线段式表示；比例尺大，表示的实地范围小，内容详细，精确度高；比例尺小，表示的实地范围大，内容简略，精确度低。2.方向：箭头的方向一般指示北方；经线指示南北方向，纬线指示东西方向。3.图例和注记：图例，地图中用以表示地理事物的各种符号；注记，用以说明地理事物的文字和数字。"
7,358，362，363，372，373,"海拔与相对高度：
海拔：地表某地高出海平面的垂直距离。相对高度：地表某两点之间的垂直距离。"
8,358，361，363,"等高（深）线与等高距：
等高（深）线：地形图上海拔（深度）相同的点连成的闭合曲线。等高距：地形图上相邻两条等高线的高度差。"
9,358，361，363,"等高线地形图的基本特征：
同线等高：同一条等高线上各点的海拔相同。等高距一般全图一致。等高线是闭合的曲线，但在同一幅图中不一定全部闭合。等高线一般不能相交（陡崖处等高线重合）。等高线的疏密反映坡度陡缓：密陡疏缓。示坡线指示地势降低的方向。"
10,358，365，367，368，507，640，641,"地形部位及特点：
山峰：等高线闭合，等高线数值内高外低。盆地：等高线闭合，等高线数值内低外高。山谷：等高线向数值增大的方向弯曲。山脊：等高线向数值减小的方向弯曲。陡崖：多条海拔不同的等高线重合。鞍部：两侧均为闭合的等高线，山谷的最高处，山脊的最低处。"
11,358，367，368，372，373,"海拔相关的计算：
1.两地间相对高度的计算：相对高度=高海拔数-低海拔数；无法读出海拔具体数值，则可用公式计算相对高度范围：(n-1)*d<H<(n+1)*d（n为两点之间等高线条数，d为等高距）。2.陡崖高度的计算：陡崖崖顶的绝对高度：H大≤H顶<H大+d；陡崖崖底的绝对高度：H小-d<H底≤H小；陡崖的相对高度：(n-1)*d≤ΔH<(n+1)*d（n为重合的等高线条数，d为等高距，H大为重合等高线中海拔最高的数值，H小为重合等高线中海拔最低的数值）3.闭合等高线的计算：闭合等高线计算遵循“大于大的，小于小的”规律。4.计算两地的温差：根据对流层气温垂直递减率（0.6°C/100m）可计算两地间的气温差异：T=0.6°C×H/100m"
12,358，363，364，365，366，367，368,"根据等高线地形图判读自然地理特征：
1.判断地势、地形特征：主要根据等高线数值的大小来判定地势高低；根据等高线的疏密判断坡度陡缓；根据示坡线判断地势降低的方向；平原海拔在200m以下，等高线稀疏，较为平直；丘陵海拔在500m以下，相对高度小于200m，等高线稀疏，弯折部分较和缓；山地海拔在500m以上，相对高度大于200m，等高线较密集；高原海拔较高（500m以上），相对高度小，等高线在边缘十分密集，在内部明显稀疏；盆地海拔没有一定标准，四周等高线较密集，数值大，中间等高线较稀疏，数值小；海岸线0m等高线表示海平面，沿海地区一般表示海岸线；大陆架海水深度不超过200m，且等深线稀疏；大陆坡海水深度超过200m，且等深线密集；海沟海水深度大，且两侧等深线密集。2.判断水系、水文特征：山地常形成放射状水系，盆地常形成向心状水系；山脊常成为河流的分水岭；山谷常有河流发育；河流流向与等高线凸出方向相反；等高线密集的河谷，河流流速快；河流的流量与流域面积和流域内降水量有关；根据山脊线作为河流的分水岭，可确定河流的流域面积。3.判断气候特征及差异：地势高低、坡向（阳坡气温高，蒸发强；阴坡气温低，蒸发弱）等因素对气候特征有一定的影响；求出高度差，再结合气温垂直递减率（0.6°C/100m）计算温度差，地势越高，气温越低；迎风坡降水多于背风坡；阳坡多于阴坡，同一种植被在阳坡的分布上界高于阴坡。"
13,363，364，365，367，368,"等高线地形图与生产实践：
1.水库坝址：选在两侧等高线密集的河流峡谷出口最窄处；应避开喀斯特地貌、地质断裂带，并考虑移民、生态等问题；库区宜选在河谷、山谷地区，或“口袋”形的洼地。2.港口：应建在等高线稀疏、等深线密集的海湾地区，避开含沙量大的河流，以免引起航道淤塞；要建在经济发达、腹地广阔的地区。3.宿营地：应避开河谷、河边，以防暴雨造成的山洪暴发；避开陡坡、陡崖，以防崩塌、落石造成的伤害；应选在地势较高的缓坡或较平坦的鞍部宿营。4.疗养院：应建在坡度较缓（等高线稀疏）、阳坡、背山面水（河流、湖泊、气清新的地方，且有交通线经过，交通便利。5.气象站：应建在坡度适中、地表开阔的地方。6.公路、铁路线：一般要求坡度平缓、尽量与等高线平行，线路较短，尽量少占农田、少建桥梁，避开陡崖、陡坡等，通往山顶的公路，往往需建盘山路等。7.引水路线：首先考虑水从高处往低处流，再结合距离的远近确定。8.输油、输气管道：路线尽可能短，尽量避免通过山脉、大河等，以降低施工难度和建设成本。"
14,369，371，372,"通视问题的分析方法：
1.根据坡度陡缓情况分析：注意“凹形坡”与“凸形坡”的不同。从山顶向四周，等高线先密后疏，为“凹形坡”，可通视；等高线先疏后密，为“凸形坡”，“凸形坡”容易挡住人们的视线。2.判断是否穿越沟谷：如果穿越沟谷，由于后半部分地势会升高，即使地势再降低，也会因为地形阻挡而无法通视。"
15,370，372，373,"地形剖面图：
沿地表某一方向的直线所作的垂直剖面图，它是在等高线地形图的基础上绘制的。四步：画线，根据要求在需绘制剖面图的两点之间作出一条直线；定尺，纵坐标表示海拔，横坐标表示水平距离；根据需要选取垂直比例尺和水平比例尺；水平比例尺一般与原图一致，垂直比例尺一般是原图的5、10、15、20倍，倍数越大，起伏越明显；找点、描点，找出剖面线与等高线的所有交点及特殊点（最高、最低、转折点），按其水平距离和高程转绘到坐标图中；连线，用平滑曲线将各点顺次连接，注意相邻两点间的升降趋势。"
16,1，70，71,"自然环境的服务功能：
1.支撑服务：养分循环、光合作用、水循环、土壤的形成。2.供给服务：食物、矿产资源、生物资源、淡水。3.调节服务：净化空气、调节气候、减缓土壤侵蚀、净化水、抑制病虫害。4.文化服务：身心健康、娱乐和生态旅游、美学价值、精神价值。"
17,70，71,"森林的服务功能：
1.支撑服务:作为生物的栖息地，维持生物多样性、增加土壤肥力等。2.供给服务:提供森林资源、动物资源等。3.调节服务:调节气候、净化空气和水质、涵养水源等。4.文化服务:提供美丽的风景，也供人类旅游休憩、获得精神享受等"
18,68，69,"区域的概念和划分：
区域是人们在地球表面按照一定的目的和标准划定的空间单元。区域占据一定空间范围，具有一定的优势、特色和功能；具有一定的区位特征，以及面积、形状、边界；边界有些是明确的，有些具有过渡性。区域内部具有相对一致性，区域之间具有差异性和相互联系性。
区域的划分：1.根据区域内部地理特征的一致性或相似性划分：按照自然特征划分的区域——高原区、热带雨林区、红壤地带等；按照人文特征划分的区域——人口密集区、稻作农业区等。2.政府为了特定的行政管理目标而划定的。例如：行政区、经济特区。3.按照区域尺度来划分：中尺度——较大的地区大尺度——全球或全大或较大面积的国家；陆；小尺度——局部地区"
19,26，27,"生态脆弱区：
1.概念：生态系统抗干扰能力弱、易于退化且难以恢复的地区。
2.主要分布区：干湿交替、农牧交错、水陆交界、森林边缘、沙漠边缘等地区。
3.特征：生态系统稳定性较差，一日其稳定性被打破，土地易退化。
4.土地退化的主要表现：土地沙化、石漠化、土壤侵蚀、土壤盐碱化、土壤肥力下降等。"
20,2，8，11，17，19,"区域的特征：
区域的特征有整体性、层次性、开放性、动态性和差异性。地理环境要素相互影响、相互作用导致了区域的整体性；地理环境要素互有差异导致了区域的差异性。整体性是区域的基本属性，没有整体性也就没有差异性，没有差异性就无所谓开放性。区域的整体性是相对的，差异性是绝对的。不仅各个区域之间普遍存在着差异性，区域内部也存在着差异性，这种差异性是区域进一步划分的基础，也是开放性形成的基础。层次性体现在两个方面，分别是大区域内包含着若干小区域，以及区域内部彼此关联形成的层次关系。区域变化的主要原因是区域地理要素、区域环境或社会需要发生了变
化，因而形成动态性。"
21,2，7，8，12，19,"区域特征的分析方法：
1.明确区域的空间范围：经纬度、海陆及邻区的相对位置。2.综合分析区域自然环境特征：地形类型、地势状况、地形区分布；气候类型、水分与热量状况、水热配合、有无特殊天气；河流水文特征、水系特征。3.综合分析区域人文环境特征：经济结构(工农业、交通)；工农业类型及分布；区域内工农业差异；区域内生产力布局、区位因素分析。4.归纳区域特征：区别差异性，归纳共同性。5.区域利用特征：探寻区域发展的优化模式。"
22,2，17，18，19,"区域发展的异同：
1.不同区域地理环境具有一定的相似性，同时区域发展也存在一定的相似性，表现在经济发展水平、发展特征等方面。2.不同区域地理位置不同，地形、气候、地貌、水文、土壤、植被等自然要素也存在差异，其中地形和气候是决定自然环境差异的主要因素。同时，各区域在经济、社会、文化等区域发展方面也呈现出不同的特点。"
